figure_id,model,condition,layer,point_order,fpr,tpr,risk_threshold,margin_threshold,status,source
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,85,0.5604395604,0.9189189189,-22.1569061279,22.1569061279,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,86,0.5714285714,0.9189189189,-22.3520202637,22.3520202637,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,87,0.5714285714,0.9459459459,-22.4752845764,22.4752845764,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,88,0.5824175824,0.9459459459,-22.9375495911,22.9375495911,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,89,0.5934065934,0.9459459459,-23.3834686279,23.3834686279,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,90,0.6043956044,0.9459459459,-23.4761848450,23.4761848450,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,91,0.6043956044,0.9729729730,-23.6050758362,23.6050758362,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,92,0.6153846154,0.9729729730,-23.6727676392,23.6727676392,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,93,0.6263736264,0.9729729730,-23.7559909821,23.7559909821,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,94,0.6373626374,0.9729729730,-24.0639858246,24.0639858246,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,95,0.6483516484,0.9729729730,-24.1407585144,24.1407585144,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
